matrix_rows,matrix_columns,matrix_tasks,matrix_density,density_profile,average_nonzeros_per_row,skew_profile,row_degree_zipf_alpha,repetition,seed,cache_policy,victim_admission,d_block_bytes,q_block_bytes,device_capacity_bytes,host_capacity_bytes,row_major_total_io_operations,row_major_total_io_bytes,row_major_ssd_io_operations,row_major_ssd_io_bytes,row_major_host_to_device_io_operations,row_major_host_to_device_io_bytes,row_major_device_to_host_io_operations,row_major_device_to_host_io_bytes,diskjoin_mecc_total_io_operations,diskjoin_mecc_total_io_bytes,diskjoin_mecc_ssd_io_operations,diskjoin_mecc_ssd_io_bytes,diskjoin_mecc_host_to_device_io_operations,diskjoin_mecc_host_to_device_io_bytes,diskjoin_mecc_device_to_host_io_operations,diskjoin_mecc_device_to_host_io_bytes,block_rcm_total_io_operations,block_rcm_total_io_bytes,block_rcm_ssd_io_operations,block_rcm_ssd_io_bytes,block_rcm_host_to_device_io_operations,block_rcm_host_to_device_io_bytes,block_rcm_device_to_host_io_operations,block_rcm_device_to_host_io_bytes,diskjoin_mecc_to_row_major_total_io_operations_ratio,diskjoin_mecc_to_row_major_total_io_bytes_ratio,diskjoin_mecc_to_row_major_ssd_io_operations_ratio,diskjoin_mecc_to_row_major_ssd_io_bytes_ratio,diskjoin_mecc_to_block_rcm_total_io_operations_ratio,diskjoin_mecc_to_block_rcm_total_io_bytes_ratio,diskjoin_mecc_to_block_rcm_ssd_io_operations_ratio,diskjoin_mecc_to_block_rcm_ssd_io_bytes_ratio,block_rcm_to_row_major_total_io_operations_ratio,block_rcm_to_row_major_total_io_bytes_ratio,block_rcm_to_row_major_ssd_io_operations_ratio,block_rcm_to_row_major_ssd_io_bytes_ratio,best_total_io_operations_scheduler,best_total_io_bytes_scheduler,best_ssd_io_operations_scheduler,best_ssd_io_bytes_scheduler
24,24,24,0.041666666666666664,degree-1,1.0,uniform,0.0,0,7,belady,future,67108864,67108864,268435456,536870912,44,2952790016,40,2684354560,2,134217728,2,134217728,40,2684354560,40,2684354560,0,0,0,0,40,2684354560,40,2684354560,0,0,0,0,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,24,0.041666666666666664,degree-1,1.0,uniform,0.0,0,7,lru,future,67108864,67108864,268435456,536870912,54,3623878656,40,2684354560,7,469762048,7,469762048,40,2684354560,40,2684354560,0,0,0,0,40,2684354560,40,2684354560,0,0,0,0,0.7407407407407407,0.7407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,0.7407407407407407,0.7407407407407407,1.0,1.0,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,24,0.041666666666666664,degree-1,1.0,moderate-zipf,0.8,0,108,belady,future,67108864,67108864,268435456,536870912,38,2550136832,34,2281701376,2,134217728,2,134217728,34,2281701376,34,2281701376,0,0,0,0,34,2281701376,34,2281701376,0,0,0,0,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,0.8947368421052632,0.8947368421052632,1.0,1.0,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,24,0.041666666666666664,degree-1,1.0,moderate-zipf,0.8,0,108,lru,future,67108864,67108864,268435456,536870912,42,2818572288,34,2281701376,4,268435456,4,268435456,34,2281701376,34,2281701376,0,0,0,0,34,2281701376,34,2281701376,0,0,0,0,0.8095238095238095,0.8095238095238095,1.0,1.0,1.0,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,1.0,1.0,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,24,0.041666666666666664,degree-1,1.0,high-zipf,1.4,0,209,belady,future,67108864,67108864,268435456,536870912,30,2013265920,28,1879048192,1,67108864,1,67108864,30,2013265920,28,1879048192,1,67108864,1,67108864,28,1879048192,28,1879048192,0,0,0,0,1.0,1.0,1.0,1.0,1.0714285714285714,1.0714285714285714,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,block_rcm,block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,24,0.041666666666666664,degree-1,1.0,high-zipf,1.4,0,209,lru,future,67108864,67108864,268435456,536870912,36,2415919104,28,1879048192,4,268435456,4,268435456,34,2281701376,28,1879048192,3,201326592,3,201326592,30,2013265920,28,1879048192,1,67108864,1,67108864,0.9444444444444444,0.9444444444444444,1.0,1.0,1.1333333333333333,1.1333333333333333,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,block_rcm,block_rcm,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm
24,24,96,0.16666666666666666,degree-4,4.0,uniform,0.0,0,10014,belady,future,67108864,67108864,268435456,536870912,144,9663676416,57,3825205248,39,2617245696,48,3221225472,102,6845104128,50,3355443200,24,1610612736,28,1879048192,118,7918845952,50,3355443200,33,2214592512,35,2348810240,0.7083333333333334,0.7083333333333334,0.8771929824561403,0.8771929824561403,0.864406779661017,0.864406779661017,1.0,1.0,0.8194444444444444,0.8194444444444444,0.8771929824561403,0.8771929824561403,diskjoin_mecc,diskjoin_mecc,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm
24,24,96,0.16666666666666666,degree-4,4.0,uniform,0.0,0,10014,lru,future,67108864,67108864,268435456,536870912,192,12884901888,71,4764729344,48,3221225472,73,4898947072,184,12348030976,50,3355443200,65,4362076160,69,4630511616,188,12616466432,56,3758096384,61,4093640704,71,4764729344,0.9583333333333334,0.9583333333333334,0.704225352112676,0.704225352112676,0.9787234042553191,0.9787234042553191,0.8928571428571429,0.8928571428571429,0.9791666666666666,0.9791666666666666,0.7887323943661971,0.7887323943661971,diskjoin_mecc,diskjoin_mecc,diskjoin_mecc,diskjoin_mecc
24,24,96,0.16666666666666666,degree-4,4.0,moderate-zipf,0.8,0,10115,belady,future,67108864,67108864,268435456,536870912,151,10133438464,67,4496293888,33,2214592512,51,3422552064,136,9126805504,61,4093640704,32,2147483648,43,2885681152,135,9059696640,58,3892314112,35,2348810240,42,2818572288,0.9006622516556292,0.9006622516556292,0.9104477611940298,0.9104477611940298,1.0074074074074073,1.0074074074074073,1.0517241379310345,1.0517241379310345,0.8940397350993378,0.8940397350993378,0.8656716417910447,0.8656716417910447,block_rcm,block_rcm,block_rcm,block_rcm
24,24,96,0.16666666666666666,degree-4,4.0,moderate-zipf,0.8,0,10115,lru,future,67108864,67108864,268435456,536870912,188,12616466432,84,5637144576,34,2281701376,70,4697620480,176,11811160064,74,4966055936,38,2550136832,64,4294967296,176,11811160064,70,4697620480,42,2818572288,64,4294967296,0.9361702127659575,0.9361702127659575,0.8809523809523809,0.8809523809523809,1.0,1.0,1.0571428571428572,1.0571428571428572,0.9361702127659575,0.9361702127659575,0.8333333333333334,0.8333333333333334,diskjoin_mecc|block_rcm,diskjoin_mecc|block_rcm,block_rcm,block_rcm
24,24,96,0.16666666666666666,degree-4,4.0,high-zipf,1.4,0,10216,belady,future,67108864,67108864,268435456,536870912,145,9730785280,67,4496293888,36,2415919104,42,2818572288,138,9261023232,70,4697620480,29,1946157056,39,2617245696,128,8589934592,65,4362076160,29,1946157056,34,2281701376,0.9517241379310345,0.9517241379310345,1.044776119402985,1.044776119402985,1.078125,1.078125,1.0769230769230769,1.0769230769230769,0.8827586206896552,0.8827586206896552,0.9701492537313433,0.9701492537313433,block_rcm,block_rcm,block_rcm,block_rcm
24,24,96,0.16666666666666666,degree-4,4.0,high-zipf,1.4,0,10216,lru,future,67108864,67108864,268435456,536870912,186,12482248704,92,6174015488,25,1677721600,69,4630511616,174,11676942336,91,6106906624,20,1342177280,63,4227858432,166,11140071424,77,5167382528,30,2013265920,59,3959422976,0.9354838709677419,0.9354838709677419,0.9891304347826086,0.9891304347826086,1.0481927710843373,1.0481927710843373,1.1818181818181819,1.1818181818181819,0.8924731182795699,0.8924731182795699,0.8369565217391305,0.8369565217391305,block_rcm,block_rcm,block_rcm,block_rcm
24,24,384,0.6666666666666666,degree-16,16.0,uniform,0.0,0,20021,belady,future,67108864,67108864,268435456,536870912,594,39862665216,181,12146704384,178,11945377792,235,15770583040,575,38587596800,171,11475615744,188,12616466432,216,14495514624,593,39795556352,177,11878268928,181,12146704384,235,15770583040,0.968013468013468,0.968013468013468,0.9447513812154696,0.9447513812154696,0.96964586846543,0.96964586846543,0.9661016949152542,0.9661016949152542,0.9983164983164983,0.9983164983164983,0.9779005524861878,0.9779005524861878,diskjoin_mecc,diskjoin_mecc,diskjoin_mecc,diskjoin_mecc
24,24,384,0.6666666666666666,degree-16,16.0,uniform,0.0,0,20021,lru,future,67108864,67108864,268435456,536870912,768,51539607552,396,26575110144,12,805306368,360,24159191040,768,51539607552,397,26642219008,11,738197504,360,24159191040,768,51539607552,393,26373783552,15,1006632960,360,24159191040,1.0,1.0,1.0025252525252526,1.0025252525252526,1.0,1.0,1.0101781170483461,1.0101781170483461,1.0,1.0,0.9924242424242424,0.9924242424242424,row_major|diskjoin_mecc|block_rcm,row_major|diskjoin_mecc|block_rcm,block_rcm,block_rcm
24,24,384,0.6666666666666666,degree-16,16.0,moderate-zipf,0.8,0,20122,belady,future,67108864,67108864,268435456,536870912,573,38453379072,205,13757317120,156,10468982784,212,14227079168,549,36842766336,201,13488881664,159,10670309376,189,12683575296,547,36708548608,204,13690208256,155,10401873920,188,12616466432,0.9581151832460733,0.9581151832460733,0.9804878048780488,0.9804878048780488,1.0036563071297988,1.0036563071297988,0.9852941176470589,0.9852941176470589,0.9546247818499127,0.9546247818499127,0.9951219512195122,0.9951219512195122,block_rcm,block_rcm,diskjoin_mecc,diskjoin_mecc
